PacketDropQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:58:35-21640),,PacketDropQueue Network.queue_0 (#0 - General-0-20230516-09:58:35-21640),,PacketDropQueue Network.queue_1 (#0 - General-0-20230516-09:58:35-21640),,PacketDropQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:58:35-21640),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-09:58:35-21640),,BufferSizeQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:58:35-21640),,BufferSizeQueue Network.queue_0 (#0 - General-0-20230516-09:58:35-21640),,BufferSizeQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:58:35-21640),,Delay Network.nodeRx.sink (#0 - General-0-20230516-09:58:35-21640),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-09:58:35-21640),,BufferSizeQueue Network.queue_1 (#0 - General-0-20230516-09:58:35-21640),
0,0,0,0,0,0,0,0,0.079587450457,1,0.079587450457,1,0.179687450457,1,0.31312078379,1,0.51312078379,0.433533333332999924,0.51312078379,1,36.602640499629,1
,,,,,,,,0.169443489305,2,0.169443489305,1,0.279687450457,1,0.446454117123,1,0.71312078379,0.543677294484999905,0.71312078379,1,59.269520499572,1
,,,,,,,,0.29503656511,3,0.29503656511,1,0.39513656511,1,0.579787450456,1,0.91312078379,0.618084218679999961,0.91312078379,1,64.469520499559,1
,,,,,,,,0.480996986317,4,0.480996986317,1,0.581096986317,1,0.71453031965,1,1.11312078379,0.632123797472999846,1.11312078379,1,,
,,,,,,,,0.573319299464,5,0.573319299464,1,0.681096986317,1,0.847863652983,2,1.31312078379,0.7398014843259999,1.31312078379,1,,
,,,,,,,,0.768473833052,6,0.768473833052,1,0.868573833052,1,1.002007166385,2,1.51312078379,0.74464695073800002,1.51312078379,1,,
,,,,,,,,0.84719394705,7,0.84719394705,1,0.968573833052,1,1.135340499718,2,1.71312078379,0.865926836739999925,1.71312078379,1,,
,,,,,,,,1.03509035247,8,1.03509035247,1,1.13519035247,1,1.268673833051,3,1.91312078379,0.878030431320000022,1.91312078379,1,,
,,,,,,,,1.090195201137,9,1.090195201137,1,1.23519035247,1,1.402007166384,3,2.11312078379,1.022925582652999926,2.11312078379,1,,
,,,,,,,,1.187895843776,10,1.187895843776,1,1.33519035247,1,1.535340499717,3,2.31312078379,1.125224940013999747,2.31312078379,1,,
,,,,,,,,1.291711773842,11,1.291711773842,1,1.43519035247,1,1.66867383305,4,2.51312078379,1.221409009947999718,2.51312078379,1,,
,,,,,,,,1.340224590214,12,1.340224590214,1,1.53519035247,2,1.802007166383,4,2.71312078379,1.372896193576000006,2.71312078379,1,,
,,,,,,,,1.397776509902,13,1.397776509902,2,1.63519035247,2,1.935340499716,4,2.91312078379,1.515344273888000075,2.91312078379,1,,
,,,,,,,,1.433092423816,14,1.433092423816,3,1.73519035247,2,2.068673833049,5,3.11312078379,1.680028359974000013,3.11312078379,1,,
,,,,,,,,1.65544486602,15,1.65544486602,1,1.83519035247,2,2.202007166382,5,3.31312078379,1.657675917769999778,3.31312078379,1,,
,,,,,,,,1.661283332929,16,1.661283332929,2,1.93519035247,3,2.335340499715,5,3.51312078379,1.851837450860999815,3.51312078379,1,,
,,,,,,,,1.992774560922,17,1.992774560922,1,2.092874560922,2,2.468673833048,6,3.71312078379,1.720346222867999756,3.71312078379,1,,
,,,,,,,,2.024610175006,18,2.024610175006,1,2.192874560922,3,2.602007166381,6,3.91312078379,1.888510608783999781,3.91312078379,1,,
,,,,,,,,2.072970385501,19,2.072970385501,2,2.292874560922,3,2.735340499714,6,4.11312078379,2.040150398288999681,4.11312078379,1,,
,,,,,,,,2.137915020326,20,2.137915020326,2,2.392874560922,3,2.868673833047,7,4.31312078379,2.175205763463999626,4.31312078379,1,,
,,,,,,,,2.294804632088,21,2.294804632088,1,2.492874560922,3,3.00200716638,7,4.51312078379,2.21831615170200002,4.51312078379,1,,
,,,,,,,,2.46202575212,22,2.46202575212,1,2.592874560922,4,3.135340499713,7,4.71312078379,2.251095031669999351,4.71312078379,1,,
,,,,,,,,2.537293163451,23,2.537293163451,1,2.692874560922,4,3.268673833046,8,4.91312078379,2.375827620338999847,4.91312078379,1,,
,,,,,,,,2.602681420173,24,2.602681420173,1,2.792874560922,4,3.402007166379,8,5.11312078379,2.510439363616999475,5.11312078379,1,,
,,,,,,,,2.686624705463,25,2.686624705463,2,2.892874560922,4,3.535340499712,8,5.31312078379,2.626496078326999482,5.31312078379,1,,
,,,,,,,,2.736511906365,26,2.736511906365,2,2.992874560922,5,3.668673833045,9,5.51312078379,2.776608877424999725,5.51312078379,1,,
,,,,,,,,2.99633731495,27,2.99633731495,1,3.09643731495,5,3.802007166378,9,5.71312078379,2.71678346884000009,5.71312078379,1,,
,,,,,,,,3.177174241377,28,3.177174241377,1,3.277274241377,4,3.935340499711,9,5.91312078379,2.73594654241300005,5.91312078379,1,,
,,,,,,,,3.184542776924,29,3.184542776924,1,3.377274241377,5,4.068673833044,10,6.11312078379,2.928578006866000102,6.11312078379,1,,
,,,,,,,,3.225700576548,30,3.225700576548,2,3.477274241377,5,4.202007166377,10,6.31312078379,3.087420207241999382,6.31312078379,1,,
,,,,,,,,3.23481667916,31,3.23481667916,3,3.577274241377,5,4.33534049971,10,6.51312078379,3.27830410463000009,6.51312078379,1,,
,,,,,,,,3.339277929991,32,3.339277929991,3,3.677274241377,5,4.468673833043,11,6.71312078379,3.373842853799000165,6.71312078379,1,,
,,,,,,,,3.341320488831,33,3.341320488831,4,3.777274241377,6,4.602007166376,11,6.91312078379,3.571800294958999962,6.91312078379,1,,
,,,,,,,,3.387245302557,34,3.387245302557,4,3.877274241377,6,4.735340499709,11,7.11312078379,3.725875481232999477,7.11312078379,1,,
,,,,,,,,3.565994068901,35,3.565994068901,4,3.977274241377,6,4.868673833042,12,7.31312078379,3.747126714889000162,7.31312078379,1,,
