PacketDropQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:46:38-20937),,PacketDropQueue Network.queue_0 (#0 - General-0-20230516-09:46:38-20937),,PacketDropQueue Network.queue_1 (#0 - General-0-20230516-09:46:38-20937),,PacketDropQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:46:38-20937),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-09:46:38-20937),,BufferSizeQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:46:38-20937),,BufferSizeQueue Network.queue_0 (#0 - General-0-20230516-09:46:38-20937),,BufferSizeQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:46:38-20937),,Delay Network.nodeRx.sink (#0 - General-0-20230516-09:46:38-20937),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-09:46:38-20937),
0,0,0,0,0,0,0,0,0.159174900913,1,0.159174900913,1,0.259274900913,1,0.459374900913,1,0.559374900913,0.4002,0.559374900913,1
,,,,,,,,0.33888697861,2,0.33888697861,1,0.43898697861,1,0.659374900913,1,0.759374900913,0.420487922302999914,0.759374900913,1
,,,,,,,,0.590073130219,3,0.590073130219,1,0.690173130219,1,0.890273130219,1,0.990273130219,0.4002,0.990273130219,1
,,,,,,,,0.961993972634,4,0.961993972634,1,1.062093972634,1,1.262193972634,1,1.362193972634,0.4002,1.362193972634,1
,,,,,,,,1.146638598928,5,1.146638598928,1,1.246738598928,1,1.462193972634,1,1.562193972634,0.415555373705999929,1.562193972634,1
,,,,,,,,1.536947666105,6,1.536947666105,1,1.637047666105,1,1.837147666105,1,1.937147666105,0.4002,1.937147666105,1
,,,,,,,,1.694387894101,7,1.694387894101,1,1.794487894101,1,2.037147666105,1,2.137147666105,0.442759772003999961,2.137147666105,1
,,,,,,,,2.070180704942,8,2.070180704942,1,2.170280704942,1,2.370380704942,1,2.470380704942,0.4002,2.470380704942,1
,,,,,,,,2.180390402276,9,2.180390402276,1,2.280490402276,1,2.570380704942,1,2.670380704942,0.489990302665999963,2.670380704942,1
,,,,,,,,2.375791687555,10,2.375791687555,1,2.475891687555,1,2.770380704942,1,2.870380704942,0.494589017387000006,2.870380704942,1
,,,,,,,,2.583423547688,11,2.583423547688,1,2.683523547688,1,2.970380704942,1,3.070380704942,0.486957157254000014,3.070380704942,1
,,,,,,,,2.680449180432,12,2.680449180432,1,2.783523547688,1,3.170380704942,1,3.270380704942,0.589931524509999859,3.270380704942,1
,,,,,,,,2.795553019809,13,2.795553019809,1,2.895653019809,2,3.370380704942,1,3.470380704942,0.674827685132999951,3.470380704942,1
,,,,,,,,2.866184847637,14,2.866184847637,1,2.995653019809,2,3.570380704942,1,3.670380704942,0.804195857304999869,3.670380704942,1
,,,,,,,,3.310889732044,15,3.310889732044,1,3.410989732044,1,3.770380704942,1,3.870380704942,0.55949097289799998,3.870380704942,1
,,,,,,,,3.322566665863,16,3.322566665863,1,3.510989732044,2,3.970380704942,1,4.070380704942,0.74781403907900001,4.070380704942,1
,,,,,,,,3.985549121849,17,3.985549121849,1,4.085649121849,1,4.285749121849,1,4.385749121849,0.4002,4.385749121849,1
,,,,,,,,4.049220350017,18,4.049220350017,1,4.185649121849,1,4.485749121849,1,4.585749121849,0.536528771831999982,4.585749121849,1
,,,,,,,,4.145940771007,19,4.145940771007,1,4.285649121849,1,4.685749121849,1,4.785749121849,0.639808350842000048,4.785749121849,1
,,,,,,,,4.275830040657,20,4.275830040657,1,4.385649121849,2,4.885749121849,1,4.985749121849,0.709919081191999976,4.985749121849,1
,,,,,,,,4.589609264182,21,4.589609264182,1,4.689709264182,1,5.085749121849,1,5.185749121849,0.596139857666999836,5.185749121849,1
,,,,,,,,4.924051504247,22,4.924051504247,1,5.024151504247,1,5.285749121849,1,5.385749121849,0.461697617602000008,5.385749121849,1
,,,,,,,,5.07458632691,23,5.07458632691,1,5.17468632691,1,5.485749121849,1,5.585749121849,0.511162794938999851,5.585749121849,1
,,,,,,,,5.205362840354,24,5.205362840354,1,5.305462840354,1,5.685749121849,1,5.785749121849,0.580386281495000041,5.785749121849,1
,,,,,,,,5.373249410934,25,5.373249410934,1,5.473349410934,2,5.885749121849,1,5.985749121849,0.612499710914999881,5.985749121849,1
