PacketDropQueue Network.nodeTx.TrTx (#0 - General-0-20230516-06:40:48-13747),,PacketDropQueue Network.queue_0 (#0 - General-0-20230516-06:40:48-13747),,PacketDropQueue Network.queue_1 (#0 - General-0-20230516-06:40:48-13747),,PacketDropQueue Network.nodeRx.TrRx (#0 - General-0-20230516-06:40:48-13747),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-06:40:48-13747),,BufferSizeQueue Network.nodeTx.TrTx (#0 - General-0-20230516-06:40:48-13747),,BufferSizeQueue Network.queue_0 (#0 - General-0-20230516-06:40:48-13747),,BufferSizeQueue Network.nodeRx.TrRx (#0 - General-0-20230516-06:40:48-13747),,Delay Network.nodeRx.sink (#0 - General-0-20230516-06:40:48-13747),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-06:40:48-13747),,BufferSizeQueue Network.queue_1 (#0 - General-0-20230516-06:40:48-13747),
0,0,0,0,0,0,0,0,0.079587450457,1,0.079587450457,1,0.179687450457,1,0.279787450457,1,0.479787450457,0.4002,0.479787450457,1,34.423036925743,1
,,,,,,,,0.169443489305,2,0.169443489305,1,0.279687450457,1,0.379787450457,1,0.679787450457,0.510343961151999979,0.679787450457,1,,
,,,,,,,,0.29503656511,3,0.29503656511,1,0.39513656511,1,0.49523656511,1,0.879787450457,0.584750885347000036,0.879787450457,1,,
,,,,,,,,0.480996986317,4,0.480996986317,1,0.581096986317,1,0.681196986317,1,1.079787450457,0.59879046413999992,1.079787450457,1,,
,,,,,,,,0.573319299464,5,0.573319299464,1,0.681096986317,1,0.781196986317,2,1.279787450457,0.706468150992999973,1.279787450457,1,,
,,,,,,,,0.768473833052,6,0.768473833052,1,0.868573833052,1,0.968673833052,2,1.479787450457,0.711313617404999873,1.479787450457,1,,
,,,,,,,,0.84719394705,7,0.84719394705,1,0.968573833052,1,1.068673833052,3,1.679787450457,0.832593503406999998,1.679787450457,1,,
,,,,,,,,1.03509035247,8,1.03509035247,1,1.13519035247,1,1.23529035247,3,1.879787450457,0.844697097986999875,1.879787450457,1,,
,,,,,,,,1.090195201137,9,1.090195201137,1,1.23519035247,1,1.33529035247,3,2.079787450457,0.98959224932,2.079787450457,1,,
,,,,,,,,1.187895843776,10,1.187895843776,1,1.33519035247,1,1.43529035247,4,2.279787450457,1.091891606681000045,2.279787450457,1,,
,,,,,,,,1.291711773842,11,1.291711773842,1,1.43519035247,1,1.53529035247,4,2.479787450457,1.188075676615000015,2.479787450457,1,,
,,,,,,,,1.340224590214,12,1.340224590214,1,1.53519035247,1,1.63529035247,5,2.679787450457,1.33956286024299986,2.679787450457,1,,
,,,,,,,,1.397776509902,13,1.397776509902,2,1.63519035247,1,1.73529035247,5,2.879787450457,1.482010940554999928,2.879787450457,1,,
,,,,,,,,1.433092423816,14,1.433092423816,3,1.73519035247,1,1.83529035247,6,3.079787450457,1.646695026640999863,3.079787450457,1,,
,,,,,,,,1.65544486602,15,1.65544486602,1,1.83519035247,1,1.93529035247,6,3.279787450457,1.624342584437000075,3.279787450457,1,,
,,,,,,,,1.661283332929,16,1.661283332929,2,1.93519035247,1,2.03529035247,7,3.479787450457,1.818504117527999666,3.479787450457,1,,
,,,,,,,,1.992774560922,17,1.992774560922,1,2.092874560922,1,2.192974560922,7,3.679787450457,1.687012889535000053,3.679787450457,1,,
,,,,,,,,2.024610175006,18,2.024610175006,1,2.192874560922,1,2.292974560922,7,3.879787450457,1.855177275451000077,3.879787450457,1,,
,,,,,,,,2.072970385501,19,2.072970385501,2,2.292874560922,1,2.392974560922,8,4.079787450457,2.006817064955999533,4.079787450457,1,,
,,,,,,,,2.137915020326,20,2.137915020326,2,2.392874560922,1,2.492974560922,8,4.279787450457,2.141872430130999472,4.279787450457,1,,
,,,,,,,,2.294804632088,21,2.294804632088,1,2.492874560922,1,2.592974560922,9,4.479787450457,2.184982818368999871,4.479787450457,1,,
,,,,,,,,2.46202575212,22,2.46202575212,1,2.592874560922,1,2.692974560922,9,4.679787450457,2.217761698337000093,4.679787450457,1,,
,,,,,,,,2.537293163451,23,2.537293163451,1,2.692874560922,1,2.792974560922,10,4.879787450457,2.3424942870059997,4.879787450457,1,,
,,,,,,,,2.602681420173,24,2.602681420173,1,2.792874560922,1,2.892974560922,10,5.079787450457,2.477106030283999327,5.079787450457,1,,
,,,,,,,,2.686624705463,25,2.686624705463,2,2.892874560922,1,2.992974560922,11,5.279787450457,2.593162744993999337,5.279787450457,1,,
,,,,,,,,2.736511906365,26,2.736511906365,2,2.992874560922,1,3.092974560922,11,5.479787450457,2.743275544091999572,5.479787450457,1,,
,,,,,,,,2.99633731495,27,2.99633731495,1,3.09643731495,1,3.19653731495,12,5.679787450457,2.683450135506999945,5.679787450457,1,,
,,,,,,,,3.177174241377,28,3.177174241377,1,3.277274241377,1,3.377374241377,12,5.879787450457,2.7026132090799999,5.879787450457,1,,
