PacketDropQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:09:59-19209),,PacketDropQueue Network.queue_0 (#0 - General-0-20230516-09:09:59-19209),,PacketDropQueue Network.queue_1 (#0 - General-0-20230516-09:09:59-19209),,PacketDropQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:09:59-19209),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-09:09:59-19209),,BufferSizeQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:09:59-19209),,BufferSizeQueue Network.queue_0 (#0 - General-0-20230516-09:09:59-19209),,BufferSizeQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:09:59-19209),,Delay Network.nodeRx.sink (#0 - General-0-20230516-09:09:59-19209),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-09:09:59-19209),,BufferSizeQueue Network.queue_1 (#0 - General-0-20230516-09:09:59-19209),
0,0,0,0,0,0,0,0,0.119381175685,1,0.119381175685,1,0.219481175685,1,0.319581175685,1,0.519581175685,0.4002,0.519581175685,1,100.874103699041,1
,,,,,,,,0.254165233958,2,0.254165233958,1,0.354265233958,1,0.454365233958,1,0.719581175685,0.465415941726999957,0.719581175685,1,,
,,,,,,,,0.442554847665,3,0.442554847665,1,0.542654847665,1,0.642754847665,1,0.919581175685,0.47702632802,0.919581175685,1,,
,,,,,,,,0.721495479476,4,0.721495479476,1,0.821595479476,1,0.921695479476,1,1.121695479476,0.4002,1.121695479476,1,,
,,,,,,,,0.859978949197,5,0.859978949197,1,0.960078949197,1,1.060178949197,1,1.321695479476,0.461716530278999946,1.321695479476,1,,
,,,,,,,,1.15271074958,6,1.15271074958,1,1.25281074958,1,1.35291074958,1,1.55291074958,0.4002,1.55291074958,1,,
,,,,,,,,1.270790920577,7,1.270790920577,1,1.370890920577,1,1.470990920577,1,1.75291074958,0.482119829002999986,1.75291074958,1,,
,,,,,,,,1.552635528707,8,1.552635528707,1,1.652735528707,1,1.752835528707,1,1.95291074958,0.400275220872999935,1.95291074958,1,,
,,,,,,,,1.635292801708,9,1.635292801708,1,1.752735528707,1,1.852835528707,1,2.15291074958,0.517617947871999992,2.15291074958,1,,
,,,,,,,,1.781843765667,10,1.781843765667,1,1.881943765667,1,1.982043765667,1,2.35291074958,0.571066983913000035,2.35291074958,1,,
,,,,,,,,1.937567660767,11,1.937567660767,1,2.037667660767,1,2.137767660767,2,2.55291074958,0.615343088813000037,2.55291074958,1,,
,,,,,,,,2.010336885325,12,2.010336885325,1,2.137667660767,1,2.237767660767,2,2.75291074958,0.742573864254999935,2.75291074958,1,,
,,,,,,,,2.096664764857,13,2.096664764857,1,2.237667660767,1,2.337767660767,3,2.95291074958,0.856245984722999948,2.95291074958,1,,
,,,,,,,,2.149638635728,14,2.149638635728,1,2.337667660767,1,2.437767660767,3,3.15291074958,1.003272113851999765,3.15291074958,1,,
,,,,,,,,2.483167299033,15,2.483167299033,1,2.583267299033,1,2.683367299033,3,3.35291074958,0.869743450546999859,3.35291074958,1,,
,,,,,,,,2.491924999397,16,2.491924999397,1,2.683267299033,1,2.783367299033,3,3.55291074958,1.060985750182999782,3.55291074958,1,,
,,,,,,,,2.989161841386,17,2.989161841386,1,3.089261841386,1,3.189361841386,2,3.75291074958,0.763748908193999873,3.75291074958,1,,
,,,,,,,,3.036915262512,18,3.036915262512,1,3.189261841386,1,3.289361841386,3,3.95291074958,0.915995487068000043,3.95291074958,1,,
,,,,,,,,3.109455578254,19,3.109455578254,1,3.289261841386,1,3.389361841386,3,4.15291074958,1.043455171325999848,4.15291074958,1,,
,,,,,,,,3.206872530492,20,3.206872530492,1,3.389261841386,1,3.489361841386,4,4.35291074958,1.146038219088000072,4.35291074958,1,,
,,,,,,,,3.442206948135,21,3.442206948135,1,3.542306948135,1,3.642406948135,4,4.55291074958,1.110703801444999689,4.55291074958,1,,
,,,,,,,,3.693038628184,22,3.693038628184,1,3.793138628184,1,3.893238628184,4,4.75291074958,1.059872121395999841,4.75291074958,1,,
,,,,,,,,3.805939745181,23,3.805939745181,1,3.906039745181,1,4.006139745181,4,4.95291074958,1.146971004399000011,4.95291074958,1,,
,,,,,,,,3.904022130264,24,3.904022130264,1,4.006039745181,1,4.106139745181,5,5.15291074958,1.24888861931599981,5.15291074958,1,,
,,,,,,,,4.029937058199,25,4.029937058199,1,4.130037058199,1,4.230137058199,5,5.35291074958,1.322973691380999732,5.35291074958,1,,
,,,,,,,,4.104767859551,26,4.104767859551,1,4.230037058199,1,4.330137058199,6,5.55291074958,1.44814289002900009,5.55291074958,1,,
,,,,,,,,4.494505972428,27,4.494505972428,1,4.594605972428,1,4.694705972428,5,5.75291074958,1.258404777151999716,5.75291074958,1,,
,,,,,,,,4.765761362069,28,4.765761362069,1,4.865861362069,1,4.965961362069,4,5.95291074958,1.187149387510999961,5.95291074958,1,,
,,,,,,,,4.776814165389,29,4.776814165389,1,4.965861362069,1,5.065961362069,5,6.15291074958,1.376096584191,6.15291074958,1,,
,,,,,,,,4.838550864825,30,4.838550864825,2,5.065861362069,1,5.165961362069,5,6.35291074958,1.514359884754999712,6.35291074958,1,,
,,,,,,,,4.852225018744,31,4.852225018744,3,5.165861362069,1,5.265961362069,6,6.55291074958,1.700685730835999715,6.55291074958,1,,
,,,,,,,,5.00891689499,32,5.00891689499,2,5.265861362069,1,5.365961362069,6,6.75291074958,1.74399385458999977,6.75291074958,1,,
,,,,,,,,5.01198073325,33,5.01198073325,3,5.365861362069,1,5.465961362069,7,6.95291074958,1.940930016329999832,6.95291074958,1,,
,,,,,,,,5.080867953838,34,5.080867953838,3,5.465861362069,1,5.565961362069,7,7.15291074958,2.072042795742000003,7.15291074958,1,,
,,,,,,,,5.348991103354,35,5.348991103354,2,5.565861362069,1,5.665961362069,8,7.35291074958,2.003919646225999601,7.35291074958,1,,
,,,,,,,,5.821516592655,36,5.821516592655,1,5.921616592655,1,6.021716592655,7,7.55291074958,1.731394156924999976,7.55291074958,1,,
