PacketDropQueue Network.nodeTx.queue (#0 - General-0-20230516-03:28:02-4649),,PacketDropQueue Network.queue (#0 - General-0-20230516-03:28:02-4649),,PacketDropQueue Network.nodeRx.queue (#0 - General-0-20230516-03:28:02-4649),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.nodeTx.queue (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.queue (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.nodeRx.queue (#0 - General-0-20230516-03:28:02-4649),,Delay Network.nodeRx.sink (#0 - General-0-20230516-03:28:02-4649),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-03:28:02-4649),
0,0,0,0,0,0,0.119381175685,1,0.119381175685,1,0.219481175685,1,0.319581175685,1,0.519581175685,0.4002,0.519581175685,1
,,,,122.305409158083,1,0.254165233958,1,0.254165233958,1,0.354265233958,1,0.454365233958,1,0.719581175685,0.465415941726999957,0.719581175685,1
,,,,122.505409158083,1,0.442554847665,1,0.442554847665,1,0.542654847665,1,0.642754847665,1,0.919581175685,0.47702632802,0.919581175685,1
,,,,122.705409158083,1,0.721495479476,1,0.721495479476,1,0.821595479476,1,0.921695479476,1,1.121695479476,0.4002,1.121695479476,1
,,,,122.905409158083,1,0.859978949197,1,0.859978949197,1,0.960078949197,1,1.060178949197,1,1.321695479476,0.461716530278999946,1.321695479476,1
,,,,123.105409158083,1,1.15271074958,1,1.15271074958,1,1.25281074958,1,1.35291074958,1,1.55291074958,0.4002,1.55291074958,1
,,,,123.305409158083,1,1.270790920577,1,1.270790920577,1,1.370890920577,1,1.470990920577,1,1.75291074958,0.482119829002999986,1.75291074958,1
,,,,123.505409158083,1,1.552635528707,1,1.552635528707,1,1.652735528707,1,1.752835528707,1,1.95291074958,0.400275220872999935,1.95291074958,1
,,,,123.705409158083,1,1.635292801708,1,1.635292801708,1,1.752735528707,1,1.852835528707,1,2.15291074958,0.517617947871999992,2.15291074958,1
,,,,123.905409158083,1,1.781843765667,1,1.781843765667,1,1.881943765667,1,1.982043765667,1,2.35291074958,0.571066983913000035,2.35291074958,1
