PacketDropQueue Network.nodeTx.queue (#0 - General-0-20230516-03:22:13-4329),,PacketDropQueue Network.queue (#0 - General-0-20230516-03:22:13-4329),,PacketDropQueue Network.nodeRx.queue (#0 - General-0-20230516-03:22:13-4329),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-03:22:13-4329),,BufferSizeQueue Network.nodeTx.queue (#0 - General-0-20230516-03:22:13-4329),,BufferSizeQueue Network.queue (#0 - General-0-20230516-03:22:13-4329),,BufferSizeQueue Network.nodeRx.queue (#0 - General-0-20230516-03:22:13-4329),,Delay Network.nodeRx.sink (#0 - General-0-20230516-03:22:13-4329),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-03:22:13-4329),
0,0,0,0,0,0,0.159174900913,1,0.159174900913,1,0.259274900913,1,0.359374900913,1,0.559374900913,0.4002,0.559374900913,1
,,,,,,0.33888697861,1,0.33888697861,1,0.43898697861,1,0.53908697861,1,0.759374900913,0.420487922302999914,0.759374900913,1
,,,,,,0.590073130219,1,0.590073130219,1,0.690173130219,1,0.790273130219,1,0.990273130219,0.4002,0.990273130219,1
,,,,,,0.961993972634,1,0.961993972634,1,1.062093972634,1,1.162193972634,1,1.362193972634,0.4002,1.362193972634,1
,,,,,,1.146638598928,1,1.146638598928,1,1.246738598928,1,1.346838598928,1,1.562193972634,0.415555373705999929,1.562193972634,1
,,,,,,1.536947666105,1,1.536947666105,1,1.637047666105,1,1.737147666105,1,1.937147666105,0.4002,1.937147666105,1
,,,,,,1.694387894101,1,1.694387894101,1,1.794487894101,1,1.894587894101,1,2.137147666105,0.442759772003999961,2.137147666105,1
,,,,,,2.070180704942,1,2.070180704942,1,2.170280704942,1,2.270380704942,1,2.470380704942,0.4002,2.470380704942,1
,,,,,,2.180390402276,1,2.180390402276,1,2.280490402276,1,2.380590402276,1,2.670380704942,0.489990302665999963,2.670380704942,1
,,,,,,2.375791687555,1,2.375791687555,1,2.475891687555,1,2.575991687555,1,2.870380704942,0.494589017387000006,2.870380704942,1
,,,,,,2.583423547688,1,2.583423547688,1,2.683523547688,1,2.783623547688,1,3.070380704942,0.486957157254000014,3.070380704942,1
,,,,,,2.680449180432,1,2.680449180432,1,2.783523547688,1,2.883623547688,1,3.270380704942,0.589931524509999859,3.270380704942,1
,,,,,,2.795553019809,1,2.795553019809,1,2.895653019809,1,2.995753019809,2,3.470380704942,0.674827685132999951,3.470380704942,1
,,,,,,2.866184847637,1,2.866184847637,1,2.995653019809,1,3.095753019809,2,3.670380704942,0.804195857304999869,3.670380704942,1
,,,,,,3.310889732044,1,3.310889732044,1,3.410989732044,1,3.511089732044,1,3.870380704942,0.55949097289799998,3.870380704942,1
,,,,,,3.322566665863,1,3.322566665863,1,3.510989732044,1,3.611089732044,2,4.070380704942,0.74781403907900001,4.070380704942,1
,,,,,,3.985549121849,1,3.985549121849,1,4.085649121849,1,4.185749121849,1,4.385749121849,0.4002,4.385749121849,1
,,,,,,4.049220350017,1,4.049220350017,1,4.185649121849,1,4.285749121849,1,4.585749121849,0.536528771831999982,4.585749121849,1
